datetime,kitchen_hours,laundry_hours,HVAC_lights_hours,other_hours
2008-12-04,3,14,15,6
2008-12-05,1,15,14,8
2008-12-06,7,18,12,10
2008-12-07,4,12,17,5
2008-12-08,3,13,15,7
2008-12-09,5,16,15,4
2008-12-10,2,20,16,6
2008-12-11,3,13,10,11
2008-12-12,3,10,16,6
2008-12-13,3,10,13,8
2008-12-14,7,16,11,10
2008-12-15,3,9,12,8
2008-12-16,0,11,13,10
2008-12-17,8,12,14,7
2008-12-18,3,12,13,7
2008-12-19,2,12,15,6
2008-12-20,3,19,16,5
2008-12-21,3,23,16,3
2008-12-22,4,17,14,7
2008-12-23,6,16,12,5
2008-12-24,0,16,13,9
2008-12-25,0,13,7,14
2008-12-26,4,12,12,10
2008-12-27,0,8,15,9
2008-12-28,5,9,8,9
2008-12-29,0,10,5,14
2008-12-30,0,10,10,11
2008-12-31,6,8,17,6
2009-01-01,1,14,5,14
2009-01-02,6,19,15,6
2009-01-03,12,10,14,7
2009-01-04,4,15,7,12
2009-01-05,3,8,10,10
2009-01-06,0,7,14,9
2009-01-07,6,15,11,9
2009-01-08,5,8,13,8
2009-01-09,3,9,12,8
2009-01-10,6,12,16,6
2009-01-11,8,18,11,6
2009-01-12,0,8,13,10
2009-01-13,3,8,17,6
2009-01-14,6,10,13,9
2009-01-15,5,9,11,6
2009-01-16,7,13,17,4
2009-01-17,5,19,19,5
2009-01-18,10,20,16,4
2009-01-19,3,16,12,7
2009-01-20,0,13,15,8
2009-01-21,3,14,11,5
2009-01-22,0,15,10,12
2009-01-23,5,12,14,8
2009-01-24,7,17,11,10
2009-01-25,7,16,14,10
2009-01-26,3,14,11,9
2009-01-27,2,12,9,11
2009-01-28,6,18,16,5
2009-01-29,0,13,11,10
2009-01-30,4,11,14,7
2009-01-31,11,17,16,4
2009-02-01,7,13,10,9
2009-02-02,3,9,12,9
2009-02-03,2,11,16,6
2009-02-04,2,15,17,7
2009-02-05,3,13,19,4
2009-02-06,3,9,17,7
2009-02-07,12,16,18,4
2009-02-08,8,9,16,4
2009-02-09,3,11,12,12
2009-02-10,3,14,14,7
2009-02-11,6,19,15,5
2009-02-12,3,13,18,5
2009-02-13,3,13,15,8
2009-02-14,3,14,19,5
2009-02-15,5,10,9,12
2009-02-16,0,10,10,11
2009-02-17,0,10,7,13
2009-02-18,0,11,9,8
2009-02-19,3,14,4,14
2009-02-20,3,13,14,7
2009-02-21,5,11,6,12
2009-02-22,7,15,11,6
2009-02-23,2,21,13,10
2009-02-24,0,20,17,6
2009-02-25,3,13,13,7
2009-02-26,0,12,9,11
2009-02-27,3,13,17,5
2009-02-28,3,16,12,5
2009-03-01,12,17,14,7
2009-03-02,2,15,10,12
2009-03-03,3,12,15,8
2009-03-04,6,15,10,7
2009-03-05,0,12,11,11
2009-03-06,3,12,16,7
2009-03-07,3,12,14,7
2009-03-08,11,19,14,8
2009-03-09,4,17,13,6
2009-03-10,0,11,13,9
2009-03-11,8,18,13,6
2009-03-12,0,15,15,6
2009-03-13,3,13,12,7
2009-03-14,6,11,19,3
2009-03-15,7,20,12,4
2009-03-16,0,12,10,9
2009-03-17,3,13,13,6
2009-03-18,3,16,15,5
2009-03-19,0,14,12,9
2009-03-20,2,15,13,8
2009-03-21,7,14,12,8
2009-03-22,5,16,13,9
2009-03-23,3,11,8,9
2009-03-24,2,12,14,6
2009-03-25,7,20,13,4
2009-03-26,0,15,11,10
2009-03-27,3,21,13,5
2009-03-28,8,14,15,9
2009-03-29,5,17,13,10
2009-03-30,3,13,11,9
2009-03-31,4,15,15,5
2009-04-01,5,17,9,11
2009-04-02,3,14,15,6
2009-04-03,0,15,14,9
2009-04-04,5,18,17,3
2009-04-05,8,14,11,7
2009-04-06,1,15,14,7
2009-04-07,3,15,13,7
2009-04-08,5,18,24,0
2009-04-09,4,15,24,1
2009-04-10,6,20,24,0
2009-04-11,4,21,24,0
2009-04-12,8,23,24,0
2009-04-13,3,21,24,0
2009-04-14,2,20,24,0
2009-04-15,4,17,24,0
2009-04-16,6,17,24,0
2009-04-17,0,17,24,4
2009-04-18,2,17,24,1
2009-04-19,4,16,24,0
2009-04-20,0,20,24,1
2009-04-21,4,15,24,3
2009-04-22,2,18,24,0
2009-04-23,3,14,24,0
2009-04-24,0,17,24,0
2009-04-25,6,20,24,0
2009-04-26,5,16,24,0
2009-04-27,3,16,24,1
2009-04-28,5,15,24,1
2009-04-29,3,16,24,1
2009-04-30,3,15,24,1
2009-05-01,3,16,24,0
2009-05-02,5,18,24,1
2009-05-03,6,19,24,0
2009-05-04,3,17,24,1
2009-05-05,3,18,24,0
2009-05-06,3,18,24,0
2009-05-07,0,16,24,0
2009-05-08,5,18,24,0
2009-05-09,4,18,24,1
2009-05-10,11,18,24,0
2009-05-11,3,24,24,0
2009-05-12,0,15,24,1
2009-05-13,2,17,24,0
2009-05-14,0,20,24,0
2009-05-15,3,16,24,1
2009-05-16,5,21,24,4
2009-05-17,5,22,24,0
2009-05-18,2,15,24,0
2009-05-19,5,19,24,0
2009-05-20,3,20,24,0
2009-05-21,5,17,24,0
2009-05-22,2,24,24,0
2009-05-23,4,24,24,0
2009-05-24,4,24,24,0
2009-05-25,3,22,24,0
2009-05-26,3,18,24,0
2009-05-27,3,15,24,0
2009-05-28,2,12,24,0
2009-05-29,3,12,24,0
2009-05-30,7,17,24,0
2009-05-31,4,24,24,0
2009-06-01,8,19,24,0
2009-06-02,0,21,24,0
2009-06-03,3,19,24,0
2009-06-04,6,13,24,0
2009-06-05,0,24,24,0
2009-06-06,5,22,24,0
2009-06-07,4,16,24,0
2009-06-08,3,17,24,0
2009-06-09,3,17,24,0
2009-06-10,2,17,24,0
2009-06-11,0,14,24,0
2009-06-12,3,13,24,0
2009-06-13,0,1,1,0
2009-06-14,0,0,0,0
2009-06-15,3,13,17,0
2009-06-16,10,14,24,0
2009-06-17,3,17,24,0
2009-06-18,0,16,24,0
2009-06-19,3,13,24,0
2009-06-20,0,21,24,0
2009-06-21,3,17,24,0
2009-06-22,0,17,24,0
2009-06-23,3,15,24,0
2009-06-24,5,21,24,0
2009-06-25,0,24,24,0
2009-06-26,5,23,24,0
2009-06-27,8,21,24,0
2009-06-28,0,19,24,0
2009-06-29,6,19,24,0
2009-06-30,2,21,24,0
2009-07-01,3,17,24,0
2009-07-02,2,20,24,0
2009-07-03,3,21,24,0
2009-07-04,4,21,24,0
2009-07-05,9,20,24,0
2009-07-06,2,17,24,0
2009-07-07,3,19,24,0
2009-07-08,0,22,24,0
2009-07-09,0,18,24,0
2009-07-10,3,18,24,0
2009-07-11,3,19,24,0
2009-07-12,0,18,24,0
2009-07-13,0,18,24,0
2009-07-14,3,18,24,0
2009-07-15,2,19,24,0
2009-07-16,0,21,24,0
2009-07-17,0,18,24,0
2009-07-18,0,16,24,0
2009-07-19,0,18,24,0
2009-07-20,3,19,24,0
2009-07-21,0,21,24,0
2009-07-22,0,18,24,0
2009-07-23,3,15,24,0
2009-07-24,0,18,24,0
2009-07-25,0,18,24,0
2009-07-26,0,20,24,0
2009-07-27,0,24,24,0
2009-07-28,0,21,24,0
2009-07-29,3,19,24,0
2009-07-30,0,20,24,0
2009-07-31,3,20,24,0
2009-08-01,0,19,24,0
2009-08-02,0,18,24,0
2009-08-03,0,17,24,0
2009-08-04,0,17,24,0
2009-08-05,0,19,24,0
2009-08-06,0,19,24,0
2009-08-07,0,18,24,0
2009-08-08,0,18,24,0
2009-08-09,6,19,24,0
2009-08-10,0,20,24,0
2009-08-11,3,23,24,0
2009-08-12,3,20,24,0
2009-08-13,3,9,10,0
2009-08-14,1,19,24,0
2009-08-15,6,20,24,0
2009-08-16,5,19,24,0
2009-08-17,1,16,24,0
2009-08-18,5,17,24,0
2009-08-19,3,17,24,0
2009-08-20,0,20,24,0
2009-08-21,7,19,24,0
2009-08-22,8,20,24,0
2009-08-23,3,21,24,0
2009-08-24,6,17,24,0
2009-08-25,3,19,24,0
2009-08-26,5,20,24,0
2009-08-27,0,19,24,0
2009-08-28,6,21,24,0
2009-08-29,2,18,24,0
2009-08-30,7,20,24,0
2009-08-31,3,18,24,0
2009-09-01,0,16,24,0
2009-09-02,3,18,24,0
2009-09-03,8,20,24,0
2009-09-04,0,19,24,0
2009-09-05,5,17,24,0
2009-09-06,3,17,24,0
2009-09-07,4,18,24,0
2009-09-08,3,16,24,0
2009-09-09,3,21,24,0
2009-09-10,3,18,24,0
2009-09-11,0,18,24,0
2009-09-12,13,18,24,0
2009-09-13,13,19,24,0
2009-09-14,7,20,24,0
2009-09-15,3,18,24,1
2009-09-16,2,18,24,0
2009-09-17,0,17,24,0
2009-09-18,6,17,24,0
2009-09-19,5,22,24,0
2009-09-20,12,19,24,0
2009-09-21,3,18,24,0
2009-09-22,2,19,24,0
2009-09-23,5,20,24,0
2009-09-24,3,18,24,0
2009-09-25,0,18,24,0
2009-09-26,6,18,24,0
2009-09-27,6,22,24,0
2009-09-28,0,18,24,0
2009-09-29,3,18,24,0
2009-09-30,3,20,24,0
2009-10-01,2,18,24,0
2009-10-02,0,18,24,0
2009-10-03,8,16,24,0
2009-10-04,7,20,24,0
2009-10-05,2,18,24,1
2009-10-06,1,16,24,1
2009-10-07,2,20,24,0
2009-10-08,4,19,24,0
2009-10-09,0,18,24,1
2009-10-10,8,18,24,0
2009-10-11,6,20,24,1
2009-10-12,3,17,24,0
2009-10-13,3,16,24,1
2009-10-14,6,19,24,0
2009-10-15,4,16,24,0
2009-10-16,0,17,24,0
2009-10-17,9,19,24,0
2009-10-18,2,16,24,2
2009-10-19,3,15,24,0
2009-10-20,1,15,24,1
2009-10-21,6,19,24,0
2009-10-22,0,16,24,1
2009-10-23,4,17,24,0
2009-10-24,13,18,24,0
2009-10-25,7,18,24,1
2009-10-26,1,15,24,2
2009-10-27,2,17,24,0
2009-10-28,3,17,24,1
2009-10-29,2,18,24,3
2009-10-30,5,19,24,1
2009-10-31,4,19,24,0
2009-11-01,6,16,24,0
2009-11-02,3,15,24,1
2009-11-03,5,20,24,3
2009-11-04,3,17,24,0
2009-11-05,3,17,24,1
2009-11-06,0,15,24,1
2009-11-07,5,15,24,2
2009-11-08,8,17,24,1
2009-11-09,3,16,24,1
2009-11-10,2,16,24,1
2009-11-11,5,15,24,0
2009-11-12,3,15,24,0
2009-11-13,4,15,24,0
2009-11-14,10,18,24,0
2009-11-15,3,20,24,0
2009-11-16,5,17,24,0
2009-11-17,0,15,24,3
2009-11-18,12,22,24,0
2009-11-19,0,17,24,1
2009-11-20,1,16,24,1
2009-11-21,7,20,24,2
2009-11-22,7,18,24,0
2009-11-23,0,15,24,1
2009-11-24,7,19,24,3
2009-11-25,1,21,24,2
2009-11-26,5,15,24,0
2009-11-27,0,16,24,1
2009-11-28,8,14,24,1
2009-11-29,3,19,24,3
2009-11-30,3,13,24,2
2009-12-01,0,14,24,3
2009-12-02,3,20,24,0
2009-12-03,2,15,24,0
2009-12-04,3,15,24,0
2009-12-05,7,15,24,0
2009-12-06,5,20,24,0
2009-12-07,3,14,24,1
2009-12-08,3,14,24,0
2009-12-09,6,19,24,1
2009-12-10,3,15,24,1
2009-12-11,4,16,24,0
2009-12-12,3,17,24,0
2009-12-13,7,16,24,0
2009-12-14,3,11,24,1
2009-12-15,3,12,24,2
2009-12-16,3,17,24,0
2009-12-17,0,11,24,2
2009-12-18,3,11,24,2
2009-12-19,3,15,19,5
2009-12-20,2,12,10,11
2009-12-21,4,10,14,7
2009-12-22,0,10,16,7
2009-12-23,3,11,17,5
2009-12-24,6,15,15,7
2009-12-25,4,16,24,1
2009-12-26,3,14,24,1
2009-12-27,8,11,24,1
2009-12-28,6,15,24,0
2009-12-29,2,10,24,4
2009-12-30,9,16,24,2
2009-12-31,0,12,24,0
2010-01-01,5,11,24,0
2010-01-02,2,11,24,2
2010-01-03,7,15,24,1
2010-01-04,0,10,24,2
2010-01-05,5,11,24,1
2010-01-06,4,18,24,0
2010-01-07,3,9,24,2
2010-01-08,0,11,24,2
2010-01-09,6,16,24,0
2010-01-10,8,15,24,2
2010-01-11,3,7,24,1
2010-01-12,1,8,15,0
2010-01-13,0,0,0,0
2010-01-14,4,2,5,0
2010-01-15,4,13,24,1
2010-01-16,5,15,24,1
2010-01-17,5,12,24,0
2010-01-18,1,10,24,2
2010-01-19,5,10,24,0
2010-01-20,6,14,24,1
2010-01-21,2,8,24,2
2010-01-22,2,8,24,2
2010-01-23,8,14,24,0
2010-01-24,7,20,24,4
2010-01-25,4,11,24,0
2010-01-26,1,8,24,3
2010-01-27,4,16,24,0
2010-01-28,4,12,24,3
2010-01-29,3,10,24,0
2010-01-30,5,20,24,0
2010-01-31,5,13,24,1
2010-02-01,3,8,24,0
2010-02-02,0,8,24,0
2010-02-03,6,16,24,0
2010-02-04,2,12,24,0
2010-02-05,2,8,24,1
2010-02-06,9,11,24,0
2010-02-07,6,13,24,0
2010-02-08,3,10,24,0
2010-02-09,3,7,24,3
2010-02-10,3,11,24,1
2010-02-11,0,8,24,1
2010-02-12,3,8,24,2
2010-02-13,4,10,24,0
2010-02-14,3,8,24,0
2010-02-15,4,9,24,0
2010-02-16,5,8,24,1
2010-02-17,6,14,24,0
2010-02-18,2,8,24,0
2010-02-19,7,11,24,0
2010-02-20,8,9,24,0
2010-02-21,6,19,24,0
2010-02-22,4,17,24,0
2010-02-23,0,13,24,0
2010-02-24,6,18,24,0
2010-02-25,0,10,24,2
2010-02-26,3,17,24,1
2010-02-27,8,10,24,0
2010-02-28,0,12,24,0
2010-03-01,5,12,24,1
2010-03-02,0,10,24,0
2010-03-03,0,11,24,1
2010-03-04,0,9,24,0
2010-03-05,3,9,24,1
2010-03-06,0,12,24,0
2010-03-07,0,14,24,0
2010-03-08,8,20,24,1
2010-03-09,2,13,24,2
2010-03-10,3,9,24,3
2010-03-11,2,8,24,0
2010-03-12,4,10,24,0
2010-03-13,6,15,24,0
2010-03-14,7,18,24,2
2010-03-15,1,10,24,0
2010-03-16,0,10,24,3
2010-03-17,3,17,24,0
2010-03-18,3,13,24,1
2010-03-19,0,12,24,2
2010-03-20,0,2,4,0
2010-03-21,5,8,11,0
2010-03-22,3,15,24,0
2010-03-23,6,14,24,0
2010-03-24,3,15,24,1
2010-03-25,0,13,24,0
2010-03-26,3,14,24,1
2010-03-27,3,16,24,1
2010-03-28,3,21,24,0
2010-03-29,0,12,24,1
2010-03-30,5,12,24,1
2010-03-31,3,16,24,0
2010-04-01,5,13,24,2
2010-04-02,0,12,24,1
2010-04-03,5,12,24,0
2010-04-04,3,9,24,0
2010-04-05,3,14,24,0
2010-04-06,3,14,24,2
2010-04-07,3,14,24,0
2010-04-08,2,13,24,2
2010-04-09,3,12,24,0
2010-04-10,3,11,24,0
2010-04-11,5,11,24,0
2010-04-12,2,12,24,1
2010-04-13,3,13,24,0
2010-04-14,3,14,24,0
2010-04-15,5,12,24,0
2010-04-16,8,12,24,0
2010-04-17,1,16,24,0
2010-04-18,3,13,24,0
2010-04-19,3,16,24,0
2010-04-20,4,16,24,0
2010-04-21,0,13,24,0
2010-04-22,3,15,24,0
2010-04-23,0,12,24,0
2010-04-24,6,19,24,0
2010-04-25,0,18,24,0
2010-04-26,3,12,24,1
2010-04-27,0,16,24,2
2010-04-28,0,12,24,0
2010-04-29,2,15,24,0
2010-04-30,5,15,24,0
2010-05-01,4,18,24,0
2010-05-02,4,21,24,0
2010-05-03,3,14,24,0
2010-05-04,0,13,24,1
2010-05-05,6,15,24,0
2010-05-06,0,13,24,1
2010-05-07,3,19,24,1
2010-05-08,6,19,24,0
2010-05-09,8,20,24,0
2010-05-10,0,14,24,0
2010-05-11,3,12,24,1
2010-05-12,2,21,24,0
2010-05-13,5,14,24,1
2010-05-14,2,22,24,0
2010-05-15,5,13,24,0
2010-05-16,10,16,24,2
2010-05-17,3,18,24,0
2010-05-18,0,18,24,0
2010-05-19,5,16,24,0
2010-05-20,0,17,24,0
2010-05-21,3,17,24,0
2010-05-22,7,20,24,0
2010-05-23,3,18,24,0
2010-05-24,6,22,24,0
2010-05-25,2,19,24,0
2010-05-26,3,22,24,0
2010-05-27,3,19,24,0
2010-05-28,3,17,24,0
2010-05-29,11,18,24,0
2010-05-30,8,20,24,0
2010-05-31,5,19,24,0
2010-06-01,3,18,24,0
2010-06-02,0,19,24,0
2010-06-03,7,19,24,0
2010-06-04,6,17,24,0
2010-06-05,16,22,24,0
2010-06-06,10,19,24,0
2010-06-07,6,13,24,0
2010-06-08,4,13,24,0
2010-06-09,8,17,24,0
2010-06-10,0,22,24,0
2010-06-11,9,12,24,0
2010-06-12,6,19,24,0
2010-06-13,10,23,24,0
2010-06-14,3,24,24,0
2010-06-15,0,21,24,0
2010-06-16,5,21,24,0
2010-06-17,0,24,24,1
2010-06-18,3,24,24,0
2010-06-19,7,20,24,0
2010-06-20,3,18,24,0
2010-06-21,7,17,24,0
2010-06-22,3,22,24,0
2010-06-23,9,20,24,0
2010-06-24,3,16,24,0
2010-06-25,0,16,24,0
2010-06-26,3,17,24,0
2010-06-27,9,17,24,0
2010-06-28,0,17,24,0
2010-06-29,6,20,24,0
2010-06-30,1,18,24,0
2010-07-01,2,19,24,0
2010-07-02,3,18,24,0
2010-07-03,0,19,24,0
2010-07-04,2,16,24,0
2010-07-05,2,18,24,0
2010-07-06,0,17,24,0
2010-07-07,3,17,24,0
2010-07-08,3,17,24,0
2010-07-09,0,21,24,0
2010-07-10,2,21,24,0
2010-07-11,2,20,24,0
2010-07-12,6,19,24,0
2010-07-13,5,24,24,0
2010-07-14,3,20,24,0
2010-07-15,3,21,24,0
2010-07-16,0,18,24,1
2010-07-17,0,21,24,0
2010-07-18,0,17,24,0
2010-07-19,0,21,24,0
2010-07-20,1,19,24,0
2010-07-21,5,20,24,0
2010-07-22,0,24,24,0
2010-07-23,3,24,24,0
2010-07-24,0,24,24,0
2010-07-25,0,22,24,0
2010-07-26,0,22,24,0
2010-07-27,2,19,24,1
2010-07-28,3,20,24,0
2010-07-29,0,20,24,0
2010-07-30,0,19,24,0
2010-07-31,0,21,24,0
2010-08-01,0,20,24,0
2010-08-02,0,20,24,0
2010-08-03,0,19,24,0
2010-08-04,0,19,24,0
2010-08-05,0,19,24,0
2010-08-06,0,19,24,0
2010-08-07,0,20,24,0
2010-08-08,0,19,24,0
2010-08-09,0,19,24,0
2010-08-10,0,19,24,0
2010-08-11,0,20,24,0
2010-08-12,0,19,24,0
2010-08-13,0,18,24,0
2010-08-14,0,18,24,0
2010-08-15,0,20,24,0
2010-08-16,3,17,24,0
2010-08-17,3,18,22,0
2010-08-18,0,0,0,0
2010-08-19,0,0,0,0
2010-08-20,0,0,0,0
2010-08-21,0,0,0,0
2010-08-22,0,3,3,0
2010-08-23,0,20,24,0
2010-08-24,0,19,24,0
2010-08-25,2,18,24,0
2010-08-26,0,20,24,0
2010-08-27,3,22,24,0
2010-08-28,4,19,24,0
2010-08-29,7,20,24,0
2010-08-30,2,18,24,0
2010-08-31,6,21,24,0
2010-09-01,5,21,24,0
2010-09-02,2,17,24,0
2010-09-03,3,19,24,0
2010-09-04,6,21,24,0
2010-09-05,5,22,24,0
2010-09-06,8,17,24,0
2010-09-07,5,19,24,0
2010-09-08,1,18,24,1
2010-09-09,5,22,24,0
2010-09-10,3,17,24,0
2010-09-11,3,21,24,3
2010-09-12,7,20,24,0
2010-09-13,4,14,24,0
2010-09-14,6,14,24,0
2010-09-15,0,15,24,0
2010-09-16,3,13,24,0
2010-09-17,3,18,24,0
2010-09-18,3,16,24,0
2010-09-19,0,13,24,0
2010-09-20,8,14,24,0
2010-09-21,0,13,24,0
2010-09-22,5,15,24,0
2010-09-23,3,15,24,0
2010-09-24,4,15,24,1
2010-09-25,0,3,4,0
2010-09-26,0,0,0,0
2010-09-27,0,0,0,0
2010-09-28,3,3,5,0
2010-09-29,5,13,24,1
2010-09-30,0,15,24,2
2010-10-01,5,15,24,0
2010-10-02,6,15,24,0
2010-10-03,10,17,24,0
2010-10-04,5,15,24,1
2010-10-05,0,18,24,1
2010-10-06,3,12,24,0
2010-10-07,4,14,24,0
2010-10-08,3,14,24,0
2010-10-09,3,24,24,0
2010-10-10,7,12,24,1
2010-10-11,3,24,24,0
2010-10-12,4,18,24,0
2010-10-13,6,12,24,0
2010-10-14,8,15,24,0
2010-10-15,2,16,24,2
2010-10-16,0,14,24,0
2010-10-17,2,14,24,0
2010-10-18,6,19,24,0
2010-10-19,3,13,24,0
2010-10-20,5,15,24,0
2010-10-21,1,13,24,0
2010-10-22,3,10,24,1
2010-10-23,5,16,24,1
2010-10-24,5,21,24,0
2010-10-25,0,13,24,2
2010-10-26,0,16,24,0
2010-10-27,0,14,24,4
2010-10-28,3,18,24,1
2010-10-29,3,15,24,3
2010-10-30,5,14,24,0
2010-10-31,2,14,24,4
2010-11-01,0,13,24,4
2010-11-02,0,12,24,2
2010-11-03,3,15,24,1
2010-11-04,8,21,24,0
2010-11-05,0,13,24,1
2010-11-06,9,15,24,1
2010-11-07,3,14,24,1
2010-11-08,3,13,24,1
2010-11-09,5,12,24,0
2010-11-10,3,18,24,2
2010-11-11,7,19,19,2
2010-11-12,6,12,14,7
2010-11-13,4,14,18,2
2010-11-14,8,13,13,7
2010-11-15,3,19,12,6
2010-11-16,0,13,11,9
2010-11-17,3,12,12,8
2010-11-18,4,12,13,5
2010-11-19,0,12,14,6
2010-11-20,9,15,15,4
2010-11-21,0,14,7,10
2010-11-22,11,15,12,6
2010-11-23,6,12,10,8
2010-11-24,2,14,16,5
2010-11-25,3,12,10,11
2010-11-26,3,11,11,8
